作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
051076,飴チョコの天使,あめチョコのてんし,あめちよこのてんし,,,,「赤い鳥」1923（大正12）年3月,NDC K913,新字新仮名,なし,2012-10-17,2014-09-16,https://www.aozora.gr.jp/cards/001475/card51076.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　3,講談社,1977（昭和52）年1月10日,1981（昭和56）年1月6日第7刷,1981（昭和56）年1月6日第7刷,,,,,,,,,,,,ぷろぼの青空工作員チーム入力班,本読み小僧,https://www.aozora.gr.jp/cards/001475/files/51076_ruby_48362.zip,2012-09-18,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51076_48534.html,2012-09-18,ShiftJIS,JIS X 0208,0
052961,あらしの前の木と鳥の会話,あらしのまえのきととりのかいわ,あらしのまえのきととりのかいわ,,,,,NDC K913,新字新仮名,なし,2012-03-09,2014-09-16,https://www.aozora.gr.jp/cards/001475/card52961.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　4,講談社,1977（昭和52）年2月10日,1977（昭和52）年C第2刷,　,,,,,,,,,,,,特定非営利活動法人はるかぜ,富田倫生,https://www.aozora.gr.jp/cards/001475/files/52961_ruby_46818.zip,2012-09-28,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/001475/files/52961_46828.html,2012-09-28,ShiftJIS,JIS X 0208,2
053142,嵐の夜,あらしのよる,あらしのよる,,,,「宗教界」1906（明治39）年11月号,NDC K913,新字新仮名,なし,2016-08-03,2016-06-21,https://www.aozora.gr.jp/cards/001475/card53142.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,文豪怪談傑作選　小川未明集　幽霊船,ちくま文庫、筑摩書房,2008（平成20）年8月10日,2010（平成22）年5月25日第2刷,2010（平成22）年5月25日第2刷,小川未明作品集　第1巻,大日本雄弁会講談社,1954（昭和29）年,,,,,,,,,門田裕志,坂本真一,https://www.aozora.gr.jp/cards/001475/files/53142_ruby_59500.zip,2016-06-10,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/53142_59537.html,2016-06-10,ShiftJIS,JIS X 0208,0
052990,ある男と無花果,あるおとこといちじく,あるおとこといちしく,,,,,NDC K913,新字新仮名,なし,2012-03-14,2014-09-16,https://www.aozora.gr.jp/cards/001475/card52990.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　4,講談社,1977（昭和52）年2月10日,1977（昭和52）年C第2刷,　,,,,,,,,,,,,特定非営利活動法人はるかぜ,富田倫生,https://www.aozora.gr.jp/cards/001475/files/52990_ruby_46819.zip,2012-02-10,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/52990_46829.html,2012-01-21,ShiftJIS,JIS X 0208,0
053014,ある男と牛の話,あるおとことうしのはなし,あるおとことうしのはなし,,,,,NDC K913,新字新仮名,なし,2013-05-13,2014-09-16,https://www.aozora.gr.jp/cards/001475/card53014.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　5,講談社,1977（昭和52）年3月10日,1977（昭和52）年3月10日第1刷,1979（昭和54）年7月1日第4刷,,,,,,,,,,,,特定非営利活動法人はるかぜ,雪森,https://www.aozora.gr.jp/cards/001475/files/53014_ruby_49969.zip,2013-04-10,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/53014_50578.html,2013-04-10,ShiftJIS,JIS X 0208,0
051754,ある少年の正月の日記,あるしょうねんのしょうがつのにっき,あるしようねんのしようかつのにつき,,,,「朝日新聞」1932（昭和7）年1月3日,NDC K913,新字新仮名,なし,2018-01-08,2017-12-26,https://www.aozora.gr.jp/cards/001475/card51754.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　8,講談社,1977（昭和52）年6月10日,1982（昭和57）年9月10日第6刷,1977（昭和52）年6月10日第1刷,青空の下の原つぱ,六文館,1932（昭和7）年3月,,,,,,,,,特定非営利活動法人はるかぜ,飛竜,https://www.aozora.gr.jp/cards/001475/files/51754_ruby_63484.zip,2017-12-26,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51754_63528.html,2017-12-26,ShiftJIS,JIS X 0208,0
051502,ある夏の日のこと,あるなつのひのこと,あるなつのひのこと,,,,「女子青年　24巻8号」1941（昭和16）年8月,NDC K913,新字新仮名,なし,2017-07-16,2017-07-17,https://www.aozora.gr.jp/cards/001475/card51502.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　13,講談社,1977（昭和52）年11月10日,1983（昭和58）年1月19日第5刷,1977（昭和52）年11月10日第1刷,生きぬく力,正芽社,1941（昭和16）年11月,,,,,,,,,特定非営利活動法人はるかぜ,酒井裕二,https://www.aozora.gr.jp/cards/001475/files/51502_ruby_62002.zip,2017-06-19,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51502_62003.html,2017-06-19,ShiftJIS,JIS X 0208,0
052962,ある日の先生と子供,あるひのせんせいとこども,あるひのせんせいとことも,,,,「童話」1924（大正13）年1月,NDC K913,新字新仮名,なし,2012-03-14,2014-09-16,https://www.aozora.gr.jp/cards/001475/card52962.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　4,講談社,1977（昭和52）年2月10日,1977（昭和52）年C第2刷,　,,,,,,,,,,,,特定非営利活動法人はるかぜ,富田倫生,https://www.aozora.gr.jp/cards/001475/files/52962_ruby_46820.zip,2012-01-21,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/52962_46830.html,2012-01-21,ShiftJIS,JIS X 0208,0
053122,ある冬の晩のこと,あるふゆのばんのこと,あるふゆのはんのこと,,,,「婦人倶楽部」1928（昭和3）年4月,NDC K913,新字新仮名,なし,2021-02-08,2021-01-27,https://www.aozora.gr.jp/cards/001475/card53122.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　6,講談社,1977（昭和52）年4月10日,1977（昭和52）年4月10日第1刷,1977（昭和52）年4月10日第1刷,婦人倶楽部, ,1928（昭和3）年4月,,,,,,,,,特定非営利活動法人はるかぜ,へくしん,https://www.aozora.gr.jp/cards/001475/files/53122_ruby_72601.zip,2021-01-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/53122_72645.html,2021-01-27,ShiftJIS,JIS X 0208,0
052963,あるまりの一生,あるまりのいっしょう,あるまりのいつしよう,,,,,NDC K913,新字新仮名,なし,2012-03-19,2014-09-16,https://www.aozora.gr.jp/cards/001475/card52963.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　4,講談社,1977（昭和52）年2月10日,1977（昭和52）年C第2刷,　,,,,,,,,,,,,特定非営利活動法人はるかぜ,富田倫生,https://www.aozora.gr.jp/cards/001475/files/52963_ruby_46817.zip,2012-09-28,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/001475/files/52963_46831.html,2012-09-28,ShiftJIS,JIS X 0208,2
